,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar
verifythis_fm2012_LRS:SuffixArray:WP_parameter select,Valid,0.15753144416666667,Valid,0.1747335601333333,Valid,0.17346550782352943,Valid,0.2085228662028985,Valid,0.17055492163636365,Valid,0.18218687072727272,Valid,0.1909890156764706,7.0,0.0,2.166667,0.0,9.0,18.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,10.0,WP_parameter select,0.0,0.0,1.0,5.0,0.0,21.0,18.0,0.0,1.0,0.0,0.0,40.0,SuffixArray,0.0,16.0,Valid,0.15341795504109587,0.0,0.0
verifythis_fm2012_LRS:SuffixArray:permut_permutation,Valid,0.25212295040740734,Valid,0.20201849783000003,Timeout,10.131906743799998,Timeout,10.2694219352,Timeout,10.134531350200001,Valid,0.19985181814,Valid,0.2029006953898305,1.0,0.0,1.666667,0.0,6.0,9.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,7.0,permut_permutation,0.0,0.0,1.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,16.0,SuffixArray,0.0,6.0,Timeout,10.149272969,0.0,0.0
verifythis_fm2012_LRS:SuffixArray_test:WP_parameter bench,Valid,0.17718698785227274,Valid,0.171274003625,Valid,0.17878325962711866,Valid,0.20378879290909094,Valid,0.1792207153287671,Valid,0.19699909153333334,Valid,0.1942786198888889,29.0,0.0,2.147727,0.0,26.0,88.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,7.0,49.0,WP_parameter bench,0.0,0.0,10.0,52.0,0.0,95.0,88.0,0.0,7.0,0.0,0.0,190.0,SuffixArray_test,0.0,43.0,Valid,0.16036896827173913,0.0,0.0
verifythis_fm2012_LRS:SuffixSort:WP_parameter compare,Valid,0.40354082439682537,Valid,0.1838402053809524,Unknown,0.18427097255714286,Timeout,10.171844093199999,Timeout,10.128445641999999,Unknown,0.3529100151034482,Unknown,0.3587709563783784,26.0,0.0,2.236842,0.0,24.0,114.0,0.0,0.0,1.0,verifythis_fm2012_LRS.mlw,0.0,2.0,65.0,WP_parameter compare,5.0,0.0,16.0,33.0,7.0,135.0,119.0,5.0,2.0,0.0,0.0,256.0,SuffixSort,0.0,101.0,Timeout,10.135445475200001,0.0,0.0
verifythis_fm2012_LRS:SuffixSort:WP_parameter sort,Timeout,11.139700916599997,Timeout,10.157682768399999,Timeout,10.155572597399999,Timeout,10.2382995204,Timeout,10.135586452999998,Timeout,10.1663060882,Timeout,10.158223644,74.0,0.0,2.226891,0.0,54.0,238.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,11.0,135.0,WP_parameter sort,2.0,0.0,19.0,58.0,10.0,280.0,240.0,2.0,11.0,0.0,0.0,531.0,SuffixSort,0.0,222.0,Timeout,10.135934632,0.0,0.0
verifythis_fm2012_LRS:SuffixSort:lcp_same_index,Valid,0.16701708076,Valid,0.1692921025,Valid,0.17216817055072464,Valid,0.21116630641758238,Timeout,10.140673602799998,Valid,0.18938770723076923,Valid,0.1913385169107143,1.0,0.0,2.125,0.0,6.0,8.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,6.0,lcp_same_index,0.0,0.0,1.0,1.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,18.0,SuffixSort,0.0,8.0,Valid,0.15587594632608698,0.0,0.0
verifythis_fm2012_LRS:SuffixSort:le_trans,Valid,0.3111512635178571,Valid,0.2568272004,Unknown,0.3796126863387097,Timeout,10.270025443,Timeout,10.1267996384,Unknown,2.8641688122,Unknown,2.6935905173999997,1.0,0.0,2.8,0.0,5.0,5.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,3.0,le_trans,0.0,0.0,1.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0,15.0,SuffixSort,0.0,9.0,Timeout,10.129182633800001,0.0,0.0
verifythis_fm2012_LRS:SuffixSort_test:WP_parameter bench,Valid,0.960892878,Valid,0.1984050772173913,Valid,0.19244069669999997,Valid,0.23877961878947368,Valid,0.19196626325581398,Valid,0.19167508503846153,Valid,0.20317533948717953,55.0,0.0,2.138298,0.0,37.0,188.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,17.0,106.0,WP_parameter bench,0.0,0.0,26.0,96.0,1.0,198.0,188.0,0.0,17.0,0.0,0.0,403.0,SuffixSort_test,0.0,102.0,Timeout,10.1333595006,0.0,0.0
verifythis_fm2012_treedel:Memory:WP_parameter get_data,Valid,0.11478842216666668,Valid,0.11601126391666666,Valid,0.09246607997368422,Valid,0.1134898918095238,Valid,0.0755640608,Valid,0.098971932,Valid,0.12071869769999999,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,verifythis_fm2012_treedel.mlw,0.0,0.0,0.0,WP_parameter get_data,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Memory,1.0,0.0,Valid,0.08726414982191781,0.0,0.0
verifythis_fm2012_treedel:Memory:WP_parameter get_left,Valid,0.11196616231,Valid,0.11454318570370371,Valid,0.09030983318,Valid,0.11077872469512197,Valid,0.09022284650000001,Valid,0.11053782130434783,Valid,0.11695462267,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,verifythis_fm2012_treedel.mlw,0.0,0.0,0.0,WP_parameter get_left,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Memory,1.0,0.0,Valid,0.08649337387356322,0.0,0.0
verifythis_fm2012_treedel:Memory:WP_parameter get_right,Valid,0.11376368688235294,Valid,0.11657548900000002,Valid,0.09186664837000003,Valid,0.11214824033000001,Valid,0.08828264906000001,Valid,0.11244775214999998,Valid,0.11655914608333334,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,verifythis_fm2012_treedel.mlw,0.0,0.0,0.0,WP_parameter get_right,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Memory,1.0,0.0,Valid,0.08811432152380952,0.0,0.0
